"ID","ResponseId","DurationSec","AGE1","AGE2_18_29","AGE2_30_44","AGE2_45_59","AGE2_60_UP","GEND_Male","GEND_Female","RACE_White","RACE_Other","EDUC_L_HS","EDUC_Bach","EDUC_Mast","HHADULTS","HHKIDS","HHWORKERS","HHINC_000_050","HHINC_050_100","HHINC_100__UP","PLACETYPE_Urban","PLACETYPE_Sub_Urban","PLACETYPE_Suburban","PLACETYPE_Rural_all","WDAYS","CDAYS","COMMUTE_YesCurrently","COMMUTE_NoUsedTo","MODE_AutoD","MODE_AutoP","MODE_Transit","MODE_Walk","MODE_Bike","PARKCOST_Yes","PARKCOST_No","TOLLCOST_Yes","TOLLCOST_No","TIMEDEP_Morning","TIMEDEP_AfterEveNight","FLEXWORK_Yes","FLEXWORK_No","FLEXINC_Yes","FLEXINC_No","PRIMWORK_Yes","PRIMWORK_No","IMP_TT","IMP_TC","IMP_WT","IMP_IN","SAT_WORK","SAT_COMM","ENJOYWC_Work","ENJOYWC_Comm","IDEALTT_00___","IDEALTT_01_05","IDEALTT_06_15","IDEALTT_15_UP","M1Q1","M1Q2","M1Q3","M1Q4","M1Q5","M1Q6","M1Q7","M1Q8","M1Q9","M1Q10","M2Q1","M2Q2","M2Q3","M2Q4","M2Q5","M2Q6","M2Q7","M2Q8","M2Q9","M2Q10","M3Q1","M3Q2","M3Q3","M3Q4","M3Q5","M3Q6","M3Q7","M3Q8","M3Q9","M3Q10","M4Q1","M4Q2","M4Q3","M4Q4","M4Q5","M4Q6","M4Q7","M4Q8","M4Q9","M4Q10","M5Q1","M5Q2","M5Q3","M5Q4","M5Q5","M5Q6","M5Q7","M5Q8","M5Q9","M5Q10","TTPD","TCPD","WTPD","INPD","MD12TT1","MD12TT2","MD12TT3","MD12TT4","MD12TT5","MD345TT1","MD345TT2","MD345TT3","MD345TT4","MD345TT5","MD12WT1","MD12WT2","MD12WT3","MD12WT4","MD12WT5","MD345WT1","MD345WT2","MD345WT3","MD345WT4","MD345WT5","MD12INC1","MD12INC2","MD12INC3","MD12INC4","MD12INC5","MD345INC1","MD345INC2","MD345INC3","MD345INC4","MD345INC5","M15TC1","M15TC2","M15TC3","M15TC4","M15TC5","M3TC1","M3TC2","M3TC3","M3TC4","M3TC5","MD12WH1","MD12WH2","MD12WH3","MD12WH4","MD12WH5","MD345WH1","MD345WH2","MD345WH3","MD345WH4","MD345WH5","MD12WM1","MD12WM2","MD12WM3","MD12WM4","MD12WM5","MD345WM1","MD345WM2","MD345WM3","MD345WM4","MD345WM5"
161,"R_3m3H8ZbNy9j3972",865,43,0,1,0,0,1,0,1,0,1,0,0,3,1,1,0,1,0,1,0,0,0,5,5,1,0,0,0,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,0,NA,1,2,-1,0,0,1,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B","A","B","A","B","A","C","A","B","B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,0,390,40,21,24,30,36,39,15,20,30,40,45,378,384,390,396,402,370,380,390,400,410,38.77,39.38,40,40.62,41.23,37.95,38.97,40,41.03,42.05,0,0,0,0,0,-2.5,-1.5,0,1.5,2.5,6,6,6,6,6,6,6,6,6,6,18,24,30,36,42,10,20,30,40,50
162,"R_1r95W1Fwmxzbrei",609,39,0,1,0,0,0,1,1,0,0,0,1,1,2,1,0,0,1,0,0,1,0,5,2,1,0,1,0,0,0,0,0,1,0,1,1,0,0,1,NA,NA,1,0,-1,-1,2,2,0,1,1,0,0,0,1,0,"C","A","A","C","B","A","C","A","C","A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,2.5,480,50,24.5,28,35,42,45.5,20,25,35,45,50,466,473,480,487,494,460,470,480,490,500,48.54,49.27,50,50.73,51.46,47.92,48.96,50,51.04,52.08,1.5,2,2.5,3,3.5,0,1,2.5,4,5,7,7,8,8,8,7,7,8,8,8,46,53,0,7,14,40,50,0,10,20
163,"R_sgPWrEQobX41vqh",400,38,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,5,5,1,0,1,0,0,0,0,0,1,0,1,1,0,0,1,NA,NA,1,0,0,1,0,2,2,2,1,0,0,1,0,0,"B","B","B","A","B","A","A","B","C","C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,5,480,120,14,16,20,24,26,5,10,20,30,35,472,476,480,484,488,460,470,480,490,500,118,119,120,121,122,115,117.5,120,122.5,125,3,4,5,6,7,2.5,3.5,5,6.5,7.5,7,7,8,8,8,7,7,8,8,8,52,56,0,4,8,40,50,0,10,20
164,"R_2pSsMtxnpWvKvgh",659,28,1,0,0,0,1,0,0,1,0,1,0,0,1,1,0,1,0,0,0,1,0,5,5,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,1,1,0,1,2,2,2,2,1,1,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C","C","B","C","C","B","C","C","C","C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,25,480,300,36.4,41.6,52,62.4,67.6,37,42,52,62,67,459.2,469.6,480,490.4,500.8,460,470,480,490,500,287,293.5,300,306.5,313,287.5,293.75,300,306.25,312.5,15,20,25,30,35,22.5,23.5,25,26.5,27.5,7,7,8,8,8,7,7,8,8,8,39,50,0,10,21,40,50,0,10,20
165,"R_3ElOErvww8RpCcH",703,53,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,5,5,0,1,1,0,0,0,0,0,1,0,1,1,0,0,1,NA,NA,1,0,-1,-1,1,1,1,1,1,0,0,1,0,0,"C","C","C","C","B","C","A","C","C","A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,1.5,540,250,21,24,30,36,39,15,20,30,40,45,528,534,540,546,552,520,530,540,550,560,244.44,247.22,250,252.78,255.56,240.74,245.37,250,254.63,259.26,0.9,1.2,1.5,1.8,2.1,-1,0,1.5,3,4,8,8,9,9,9,8,8,9,9,9,48,54,0,6,12,40,50,0,10,20
166,"R_1ddaXoqjDrvn98w",1123,29,0,0,1,0,1,0,0,1,0,1,0,0,1,1,1,0,0,0,1,0,0,5,5,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,1,-2,-1,0,0,0,0,1,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A","C","C","C","A","C","C","C","C","A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,4,540,60,42,48,60,72,78,45,50,60,70,75,516,528,540,552,564,520,530,540,550,560,57.33,58.67,60,61.33,62.67,57.78,58.89,60,61.11,62.22,2.4,3.2,4,4.8,5.6,1.5,2.5,4,5.5,6.5,8,8,9,9,9,8,8,9,9,9,36,48,0,12,24,40,50,0,10,20
167,"R_2E5c9sach4tGy0o",496,35,0,1,0,0,1,0,0,1,0,0,1,3,1,3,0,1,0,1,0,0,0,5,5,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,1,1,0,1,1,1,1,1,0,1,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A","B","A","B","B","A","A","B","A","A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,4,480,425,37.1,42.4,53,63.6,68.9,38,43,53,63,68,458.8,469.4,480,490.6,501.2,460,470,480,490,500,406.23,415.61,425,434.39,443.77,407.29,416.15,425,433.85,442.71,2.4,3.2,4,4.8,5.6,1.5,2.5,4,5.5,6.5,7,7,8,8,8,7,7,8,8,8,39,49,0,11,21,40,50,0,10,20
168,"R_RJ3KFKSsNGUe2OZ",772,37,0,1,0,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,1,7,7,1,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,NA,1,1,2,2,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B","B","A","B","A","B","A","A","B","B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,0,480,35.71,7,8,10,12,13,-5,0,10,20,25,476,478,480,482,484,460,470,480,490,500,35.41,35.56,35.71,35.86,36.01,34.22,34.97,35.71,36.45,37.2,0,0,0,0,0,-2.5,-1.5,0,1.5,2.5,7,7,8,8,8,7,7,8,8,8,56,58,0,2,4,40,50,0,10,20
169,"R_1pRtfBM22tKSXok",685,47,0,0,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0,1,4,4,1,0,1,0,0,0,0,0,1,0,1,1,0,0,1,NA,NA,1,0,1,1,2,2,1,2,1,0,0,1,0,0,"C","C","C","A","B","C","A","C","B","A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,1.25,420,75,11.2,12.8,16,19.2,20.8,1,6,16,26,31,413.6,416.8,420,423.2,426.4,400,410,420,430,440,73.86,74.43,75,75.57,76.14,71.43,73.21,75,76.79,78.57,0.75,1,1.25,1.5,1.75,-1.25,-0.25,1.25,2.75,3.75,6,6,7,7,7,6,6,7,7,7,54,57,0,3,6,40,50,0,10,20
170,"R_OJ1QvbTlnNxRp6h",895,34,0,1,0,0,0,1,1,0,0,1,0,0,3,1,0,0,1,1,0,0,0,5,3,1,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,1,1,0,0,1,0,1,1,1,1,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A","A","A","A","C","C","A","A","C","A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,11.67,120,125,42,48,60,72,78,45,50,60,70,75,96,108,120,132,144,100,110,120,130,140,100,112.5,125,137.5,150,104.17,114.58,125,135.42,145.83,7,9.34,11.67,14,16.34,9.17,10.17,11.67,13.17,14.17,1,1,2,2,2,1,1,2,2,2,36,48,0,12,24,40,50,0,10,20
171,"R_1oGeHac8ibBYsq0",1226,42,0,1,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,1,0,0,5,5,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,1,1,1,2,1,1,2,1,0,0,1,0,0,"C","A","C","C","B","C","A","C","B","A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,1.37,480,136,21.7,24.8,31,37.2,40.3,16,21,31,41,46,467.6,473.8,480,486.2,492.4,460,470,480,490,500,132.49,134.24,136,137.76,139.51,130.33,133.17,136,138.83,141.67,0.82,1.1,1.37,1.64,1.92,-1.13,-0.13,1.37,2.87,3.87,7,7,8,8,8,7,7,8,8,8,48,54,0,6,12,40,50,0,10,20
172,"R_3MseDsfDrPKZjrG",606,42,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,5,5,0,1,1,0,0,0,0,0,1,0,1,1,0,1,0,0,1,1,0,0,0,-1,0,-2,1,0,1,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C","C","A","C","A","B","B","A","A","A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,4,510,300,36.4,41.6,52,62.4,67.6,37,42,52,62,67,489.2,499.6,510,520.4,530.8,490,500,510,520,530,287.76,293.88,300,306.12,312.24,288.24,294.12,300,305.88,311.76,2.4,3.2,4,4.8,5.6,1.5,2.5,4,5.5,6.5,8,8,8,8,8,8,8,8,8,8,9,20,30,40,51,10,20,30,40,50
173,"R_VKGxnLmG7VFPgYh",407,25,1,0,0,0,1,0,0,1,1,0,0,2,0,1,0,1,0,1,0,0,0,5,5,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1,0,1,1,1,2,1,2,1,0,0,1,0,0,"C","B","C","B","A","A","A","A","C","B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,10,480,111.4,28,32,40,48,52,25,30,40,50,55,464,472,480,488,496,460,470,480,490,500,107.69,109.54,111.4,113.26,115.11,106.76,109.08,111.4,113.72,116.04,6,8,10,12,14,7.5,8.5,10,11.5,12.5,7,7,8,8,8,7,7,8,8,8,44,52,0,8,16,40,50,0,10,20
174,"R_1OwMFLwQgiwoiLS",321,22,1,0,0,0,0,1,1,0,0,1,0,3,0,2,0,1,0,0,0,1,0,3,3,1,0,1,0,0,0,0,0,1,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,-1,1,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A","B","B","C","B","B","C","A","B","A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,8.33,720,400,63,72,90,108,117,75,80,90,100,105,684,702,720,738,756,700,710,720,730,740,380,390,400,410,420,388.89,394.44,400,405.56,411.11,5,6.66,8.33,10,11.66,5.83,6.83,8.33,9.83,10.83,11,11,12,12,12,11,11,12,12,12,24,42,0,18,36,40,50,0,10,20
175,"R_3RlQfM5SCyL4Cyt",831,37,0,1,0,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,1,5,5,1,0,1,0,0,0,0,0,1,0,1,1,0,0,1,NA,NA,0,1,2,-1,1,2,-1,-2,0,1,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A","A","B","C","B","A","A","B","A","B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,16,480,128,63,72,90,108,117,75,80,90,100,105,444,462,480,498,516,460,470,480,490,500,118.4,123.2,128,132.8,137.6,122.67,125.33,128,130.67,133.33,9.6,12.8,16,19.2,22.4,13.5,14.5,16,17.5,18.5,7,7,8,8,8,7,7,8,8,8,24,42,0,18,36,40,50,0,10,20
176,"R_1N844Lloa3xx0VZ",507,41,0,1,0,0,0,1,1,0,0,0,1,1,3,1,0,0,1,0,0,1,0,5,5,1,0,1,0,0,0,0,0,1,0,1,1,0,0,1,NA,NA,0,1,-1,0,-2,2,2,2,1,0,0,1,0,0,"C","A","C","C","B","C","A","C","B","A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,8,450,200,17.5,20,25,30,32.5,10,15,25,35,40,440,445,450,455,460,430,440,450,460,470,195.56,197.78,200,202.22,204.44,191.11,195.56,200,204.44,208.89,4.8,6.4,8,9.6,11.2,5.5,6.5,8,9.5,10.5,7,7,7,7,7,7,7,7,7,7,20,25,30,35,40,10,20,30,40,50
177,"R_3PLgKfa6eRJQXcS",534,36,0,1,0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,0,6,5,0,1,1,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,1,1,1,2,0,-2,1,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C","C","C","A","C","B","B","B","B","C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,7,540,158.33,63,72,90,108,117,75,80,90,100,105,504,522,540,558,576,520,530,540,550,560,147.77,153.05,158.33,163.61,168.89,152.47,155.4,158.33,161.26,164.19,4.2,5.6,7,8.4,9.8,4.5,5.5,7,8.5,9.5,8,8,9,9,9,8,8,9,9,9,24,42,0,18,36,40,50,0,10,20
178,"R_ZfXP9HAU1wwF161",754,63,0,0,1,0,0,1,1,0,0,1,0,2,4,2,0,1,0,0,0,1,0,5,5,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,1,-1,0,-1,1,1,0,1,0,0,1,0,0,"C","A","C","C","A","C","C","A","C","A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,10,540,250,24.5,28,35,42,45.5,20,25,35,45,50,526,533,540,547,554,520,530,540,550,560,243.52,246.76,250,253.24,256.48,240.74,245.37,250,254.63,259.26,6,8,10,12,14,7.5,8.5,10,11.5,12.5,8,8,9,9,9,8,8,9,9,9,46,53,0,7,14,40,50,0,10,20
179,"R_zUrHwhyguO0ylRn",464,28,1,0,0,0,0,1,0,1,1,0,0,1,1,0,0,1,0,0,0,0,1,5,5,1,0,1,0,0,0,0,0,1,0,1,1,0,0,1,NA,NA,1,0,1,1,1,1,2,1,0,1,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A","A","B","A","C","A","C","B","A","C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,15,540,150,52.5,60,75,90,97.5,60,65,75,85,90,510,525,540,555,570,520,530,540,550,560,141.67,145.83,150,154.17,158.33,144.44,147.22,150,152.78,155.56,9,12,15,18,21,12.5,13.5,15,16.5,17.5,8,8,9,9,9,8,8,9,9,9,30,45,0,15,30,40,50,0,10,20
180,"R_ZEjlX8YYw1ZjBAd",639,18,1,0,0,0,0,1,0,1,1,0,0,3,0,3,0,1,0,0,0,1,0,6,6,1,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,1,0,0,2,2,2,2,1,0,0,1,0,0,"C","C","C","C","B","A","A","B","B","A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,3.33,420,125,8.4,9.6,12,14.4,15.6,-3,2,12,22,27,415.2,417.6,420,422.4,424.8,400,410,420,430,440,123.57,124.29,125,125.71,126.43,119.05,122.02,125,127.98,130.95,2,2.66,3.33,4,4.66,0.83,1.83,3.33,4.83,5.83,6,6,7,7,7,6,6,7,7,7,55,58,0,2,5,40,50,0,10,20
181,"R_RrCSVPmNC0frJjb",1798,48,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,5,5,0,1,1,0,0,0,0,0,1,0,1,1,0,0,1,NA,NA,1,0,-1,-1,-1,-1,2,2,1,0,0,0,1,0,"C","C","C","C","C","C","C","C","C","C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,2,480,250,14,16,20,24,26,5,10,20,30,35,472,476,480,484,488,460,470,480,490,500,245.83,247.92,250,252.08,254.17,239.58,244.79,250,255.21,260.42,1.2,1.6,2,2.4,2.8,-0.5,0.5,2,3.5,4.5,7,7,8,8,8,7,7,8,8,8,52,56,0,4,8,40,50,0,10,20
182,"R_3P7bkYvcewzbqHh",1055,53,0,0,1,0,1,0,1,0,1,0,0,4,0,2,0,0,1,0,0,1,0,6,6,1,0,1,0,0,0,0,0,1,0,1,0,1,1,0,1,0,1,0,-1,-1,0,2,0,1,0,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C","A","A","B","B","C","B","C","B","B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,4.17,600,250,70,80,100,120,130,85,90,100,110,115,560,580,600,620,640,580,590,600,610,620,233.33,241.67,250,258.33,266.67,241.67,245.83,250,254.17,258.33,2.5,3.34,4.17,5,5.84,1.67,2.67,4.17,5.67,6.67,9,9,10,10,10,9,9,10,10,10,20,40,0,20,40,40,50,0,10,20
183,"R_2TEItuIGKd0ILxG",560,41,0,1,0,0,0,1,1,0,1,0,0,1,1,1,0,1,0,0,0,1,0,5,5,1,0,1,0,0,0,0,0,1,0,1,1,0,0,1,NA,NA,1,0,1,-1,0,0,1,-1,0,1,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B","C","A","B","B","C","B","C","A","B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,10,600,200,49,56,70,84,91,55,60,70,80,85,572,586,600,614,628,580,590,600,610,620,190.67,195.33,200,204.67,209.33,193.33,196.67,200,203.33,206.67,6,8,10,12,14,7.5,8.5,10,11.5,12.5,9,9,10,10,10,9,9,10,10,10,32,46,0,14,28,40,50,0,10,20
184,"R_WBBu3YNaz0IiitP",646,56,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,5,5,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,1,1,0,0,-1,0,1,1,1,0,1,0,1,0,0,"B","B","C","A","B","A","A","A","A","C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,2.5,480,280,28,32,40,48,52,25,30,40,50,55,464,472,480,488,496,460,470,480,490,500,270.67,275.33,280,284.67,289.33,268.33,274.17,280,285.83,291.67,1.5,2,2.5,3,3.5,0,1,2.5,4,5,7,7,8,8,8,7,7,8,8,8,44,52,0,8,16,40,50,0,10,20
185,"R_32RaDEOh6jsJ2v3",1305,39,0,1,0,0,0,1,1,0,0,0,1,1,0,1,0,0,1,0,1,0,0,6,4,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,1,1,0,-1,-1,-1,2,1,-1,1,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A","B","B","C","A","B","C","A","B","C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95,4.06,600,312.5,66.5,76,95,114,123.5,80,85,95,105,110,562,581,600,619,638,580,590,600,610,620,292.71,302.6,312.5,322.4,332.29,302.08,307.29,312.5,317.71,322.92,2.44,3.25,4.06,4.87,5.68,1.56,2.56,4.06,5.56,6.56,9,9,10,10,10,9,9,10,10,10,22,41,0,19,38,40,50,0,10,20
186,"R_3fxSwo40uVGzTz5",811,35,0,1,0,0,1,0,1,0,0,0,1,1,2,0,0,0,1,1,0,0,0,5,5,0,1,1,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1,0,1,2,1,2,2,2,1,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C","C","C","C","C","C","C","C","C","C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95,12.5,420,450,66.5,76,95,114,123.5,80,85,95,105,110,382,401,420,439,458,400,410,420,430,440,409.29,429.64,450,470.36,490.71,428.57,439.29,450,460.71,471.43,7.5,10,12.5,15,17.5,10,11,12.5,14,15,6,6,7,7,7,6,6,7,7,7,22,41,0,19,38,40,50,0,10,20
187,"R_QmjFtQ2GolWit6p",658,53,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,5,5,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,-1,-1,0,2,2,0,1,0,1,0,0,"C","A","A","C","B","A","A","B","B","A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,2,240,60,7,8,10,12,13,-5,0,10,20,25,236,238,240,242,244,220,230,240,250,260,59,59.5,60,60.5,61,55,57.5,60,62.5,65,1.2,1.6,2,2.4,2.8,-0.5,0.5,2,3.5,4.5,3,3,4,4,4,3,3,4,4,4,56,58,0,2,4,40,50,0,10,20
188,"R_1OJMX94GVoA2nXB",754,63,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,5,5,1,0,1,0,0,0,0,0,1,0,1,1,0,0,1,NA,NA,1,0,-1,0,1,2,2,2,1,0,0,1,0,0,"C","C","A","C","C","C","C","C","C","C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,4,480,500,16.8,19.2,24,28.8,31.2,9,14,24,34,39,470.4,475.2,480,484.8,489.6,460,470,480,490,500,490,495,500,505,510,479.17,489.58,500,510.42,520.83,2.4,3.2,4,4.8,5.6,1.5,2.5,4,5.5,6.5,7,7,8,8,8,7,7,8,8,8,50,55,0,5,10,40,50,0,10,20
189,"R_3lDZwT7sOUI1EgV",619,34,0,1,0,0,1,0,0,1,0,0,1,1,4,1,0,1,0,1,0,0,0,5,5,1,0,1,0,0,0,0,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,-1,0,1,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A","A","A","C","B","C","A","C","A","C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,10,540,130,42,48,60,72,78,45,50,60,70,75,516,528,540,552,564,520,530,540,550,560,124.22,127.11,130,132.89,135.78,125.19,127.59,130,132.41,134.81,6,8,10,12,14,7.5,8.5,10,11.5,12.5,8,8,9,9,9,8,8,9,9,9,36,48,0,12,24,40,50,0,10,20
